Name,Handle,Party,Bio
Brian Køster,@SandKjaer,B,MF for @Spolitik - Udlændinge- og integrationsordfører / Medieordfører - valgt i Ballerup og Glostrup - 61 62 58 61 / kasper.kjaer@ft.dk
Stinus Lindgreen,@SandKjaer,B,MF for @Spolitik - Udlændinge- og integrationsordfører / Medieordfører - valgt i Ballerup og Glostrup - 61 62 58 61 / kasper.kjaer@ft.dk
Sofie Carsten Nielsen,@sofiecn,B,@radikale. Vores 2030-plan er en invitation til røde og blå.
Abbas Razvi ‏عباس,@abbasrazvi,B,"Landscape Architect. Ardent traveller. 
A good singlemalt whiskey, a good cigar,  good music and of course good company..UC.Berkeley. Hyderabad."
Esat Sentürk,@dahanejya,B,
Hediye Temiz,@dahanejya,B,
Britt Bager,@brittbager,C,Folketingsmedlem for @KonservativeDK. Folketingskandidat i Lyngby-Taarbæk i Københavns Omegns Storkreds
Hanne Bjørn,@hannebjornk,C,"Folketingskandidat for Det Konservative Folkeparti, Rødovrekredsen, kommunalbestyrelsesmedlem, Herlev, tlf: 22354772, hanne@netbjorn.dk"
Magnus Von Dreiager,@MagnusVonDrei,C,"Folketingskandidat, 2. viceborgmester i Lyngby-Taarbæk og regionsrådsmedlem i Region H for @KonservativeDK samt landsformand for @KSL_DK. Tlf. nr. 23351995"
Tina Cartey Hansen,@TinaCartey,C,
Rasmus Jarlov,@RasmusJarlov,C,"Finansordfører, skatteordfører, forsvarsordfører, ordfører for Rigsfællesskabet og næstformand i den konservative folketingsgruppe. Valgt i Københavns Omegn."
Michael R Rugaard,@r_rugaard,C,Interesse for politik og samfund.
Merete Scheelsbeck,@Scheelsbeck,C,Folketingskandidat og byrådsmedlem for Konservative i Høje-Taastrup Tlf 30295248
Hans Henrik Sørensen,@HansHenrikDF,C,Politiassistent ved Nordjylland Politi.
Tom Bentsen,@tomaveryspotted,D,welcome to my lucid pixie dream | he/they
Ulla Kokfelt,@UllaKokfelt,D,"Spidskandidat til Folketinget i Københavns Omegns Storkreds og medlem af byrådet i Helsingør, Nye Borgerlige."
Alberte Rasmussen,@Albertekornelia,D,
Claus Bøgh Svenningsen,@Albertekornelia,D,
Sigurd Agersnap,@SigurdAgersnap,F,Landsledelsesmedlem i SF og viceborgmester i Lyngby-Taarbæk
Serdal Benli,@SigurdAgersnap,F,Landsledelsesmedlem i SF og viceborgmester i Lyngby-Taarbæk
Niels haxthausen,@NielsHaxthausen,F,
Rasmus Henriksen,@RasmusH_,F,Fodboldnørd og til hverdag lokalredaktør hos Fyens Stiftstidende.
Vivi Nør Jacobsen,@ViviNoer,F,"Folketingskandidat for SF, aktivist, medlem af kommunalbestyrelsen i Albertslund... optaget af skole, børn, klima og natur, velfærd og fællesskaber"
Troels Stru Schmidt,@troelsstru,F,"Folketingskandidat for SF Rødovre, Medl. af SFs landsledelse, ph.d, gymnasielærer, far til 3 og temmelig vred over klimakrise, ulighed og højrepopulisme."
Alexander Bruhn Skjøth,@AlexanderBS_dk,F,"Folketingskandidat for SF i Brøndbykredsen.Nørd, almen organisationsformand, bolig-, LGBTQIA+-, social-, og it-holdninger. Egne meninger. (web under opdatering)"
Sofie F. Villadsen,@AlexanderBS_dk,F,"Folketingskandidat for SF i Brøndbykredsen.Nørd, almen organisationsformand, bolig-, LGBTQIA+-, social-, og it-holdninger. Egne meninger. (web under opdatering)"
Louise Siv Ebbesen,@EbbesenSiv,I,"Folketingskandidat - Liberal Alliance, Københavns Omegn"
Simon Karim Helledie,@EbbesenSiv,I,"Folketingskandidat - Liberal Alliance, Københavns Omegn"
David Ibsen,@dlibsen,I,"@UANI Executive Director, @FightExtremism Executive Director. Former Policy Analyst for U.S. State Dept, delegate to U.N. RTs not endorsements."
jørgen juhl petersen,@nakskov66,I,
Steffen Larsen,@S_B_Larsen,I,"MF Liberal Alliance
Siger ofte ordet 'træls' og er ret optaget af borgerlige værdier."
Peter Loft,@peterloftdk,I,
Danny Malkowski,@DannyMalkowski,I,
Søren Schmidt-Andersen,@schmidt_sa2001,I,"En ung fyr med stor interesse i hver der rør sig i politik, aktiemarkedet samt samfundet som helhed. Dernæst formand for LA-Ungdom i København."
Johnnie V Gregersen,@JohnnieVG,K,Follower of Jesus. Gift & far til 6 voksne børn. Kristendemokrat. Ishockey. El-taxa/limo vognmand i Kbh.
Elif Gökçe Demir,@eliff_gokce,K,
Esben Frette Johnsen,@EsbenFreJohnsen,K,"Biolog og far til to -
Næstformand Kristendemokratisk Ungdom -
Formand for Kristendemokraterne i Gladsaxe"
Bolette von Westphal,@EsbenFreJohnsen,K,"Biolog og far til to -
Næstformand Kristendemokratisk Ungdom -
Formand for Kristendemokraterne i Gladsaxe"
Ammar Ali,@EsbenFreJohnsen,M,"Biolog og far til to -
Næstformand Kristendemokratisk Ungdom -
Formand for Kristendemokraterne i Gladsaxe"
Lars Arne Christensen,@LarsArneC,M,"Business Angel, debattør, madøre, sportsmand, snapse- og likørmager og forelsket i fru Lilian"
Rasmus Skindbjerg Hinrichs,@LarsArneC,M,"Business Angel, debattør, madøre, sportsmand, snapse- og likørmager og forelsket i fru Lilian"
Rasmus Lund-Nielsen,@LarsArneC,M,"Business Angel, debattør, madøre, sportsmand, snapse- og likørmager og forelsket i fru Lilian"
Anastasiya_Kvitko,@Official_Kvitko,M,Russian Model I Commercial offers info@anastasiakvitko.com I INSTAGRAM @Anastasiya_kvitko I
Monika Rubin,@Official_Kvitko,M,Russian Model I Commercial offers info@anastasiakvitko.com I INSTAGRAM @Anastasiya_kvitko I
Susanne Damsgaard,@SusanneDamsgaa1,O,Politisk aktiv hos Dansk Folkeparti
Mikkel Dencker,@Mikkel_Dencker,O,
Michael Aastrup Jensen,@michaelaastrup,O,Medlem af Folketinget. Bor og valgt i Østjylland. Udenrigspolitisk ordfører (V) samt tidl. borgmester i Randers. MP and Foreign Affairs spokesperson (Liberal)
Cecilie Winther Kristensen,@Cecilie_WK,O,Folketingskandidat for DF i KBHs Omegn Storkreds. 1. suppleant i Borgerrepræsentationen i København for Dansk Folkeparti. cecilie.kristensen@ft.dk tlf: 61623184
Morten Messerschmidt,@MrMesserschmidt,O,Medlem af Folketinget. RT means worth reading/seeing. No name = No response
Jared Michael Pihl,@mourningrainmsc,O,"Jared Michael Pihl is an American musician/songwriter from Long Island, New York, sometimes referred to as ""JMP""."
Lars Prier,@mourningrainmsc,O,"Jared Michael Pihl is an American musician/songwriter from Long Island, New York, sometimes referred to as ""JMP""."
Rita Rahbek Russell,@RahbekRita,O,
Asham Agha Nadeem,@RahbekRita,Q,
Aqeel Akhtar ch,@AqeelAkhtarch1,Q,"SV President SMT District BahawalNagar

Vote Ko Izzat Do"
Nour Elzeftawy,@NourElzeftawy,Q,N
Sabrina Carpenter,@SabrinaAnnLynn,Q,
Karen Ellemann,@EllemannKaren,V,
Anders Bo Larsen,@pocahotdog,V,
Lennart Hartmann Nielsen,@pocahotdog,V,
Casper Phillip Pedersen,@pedersencasp,V,Danish professional road cyclist with Team DSM
Mathias Rinaldo,@pedersencasp,V,Danish professional road cyclist with Team DSM
Astrid Søborg,@AstridSborg,V,"Fortabt i politik, samfund og historie, natur, have, borgerlig ordentlighed, lokaldemokrati."
Kim Valentin,@kimvalentinDK,V,"medlem af Europa-parlamentet, partner i Finanshuset i Fredensborg A/S, Landsformand LOF"
Ricki Vejsmose,@kimvalentinDK,V,"medlem af Europa-parlamentet, partner i Finanshuset i Fredensborg A/S, Landsformand LOF"
Charlotte Munch,@MunchCharlotte,Æ,
Mette Qwinten,@MetteQwinten,Æ,
Michael Rosenmark,@MetteQwinten,Æ,
Søren Søndergaard,@SrenSndergaard3,Ø,"MF for Enhedslisten. Ordfører for EU, kultur og medier. Formand for delegationen til den Inter-Parlamentariske Union og medlem af Europaråds-delegationen."
Tobias Clausen,@SrenSndergaard3,Ø,"MF for Enhedslisten. Ordfører for EU, kultur og medier. Formand for delegationen til den Inter-Parlamentariske Union og medlem af Europaråds-delegationen."
Necla Baran,@neclabaran72,Ø,"''İnsanı gördüklerinden ibaret sayma, göremediklerinde ara. İçidir hakikatin resmi, dışı sadece bir manzara!''"
Mathilde Vinther,@m_vinther,Ø,Folketingskandidat for Enhedslisten i Københavns omegn
Helge Bo Jensen,@m_vinther,Ø,Folketingskandidat for Enhedslisten i Københavns omegn
Stefan Rundstrøm,@m_vinther,Ø,Folketingskandidat for Enhedslisten i Københavns omegn
Stine Rahbek Pedersen,@m_vinther,Ø,Folketingskandidat for Enhedslisten i Københavns omegn
Qasam Nazir Ahmad,@qasamnahmad,Å,Tidligere Regionsrådsmedlem(2018-2021)  - Tidligere Byrådsmedlem i Halsnæs(2017) - Risk Manager hos UFST.
Thomas Anker,@qasamnahmad,Å,Tidligere Regionsrådsmedlem(2018-2021)  - Tidligere Byrådsmedlem i Halsnæs(2017) - Risk Manager hos UFST.
Irina Bjørnø,@qasamnahmad,Å,Tidligere Regionsrådsmedlem(2018-2021)  - Tidligere Byrådsmedlem i Halsnæs(2017) - Risk Manager hos UFST.
Jesper Callesen,@jazz7319,Å,I am 15 years old and im 1.85 tall. write to me for more information ;) ..
Sofie Groth,@jazz7319,Å,I am 15 years old and im 1.85 tall. write to me for more information ;) ..
Bitten Vivi Jensen,@jazz7319,Å,I am 15 years old and im 1.85 tall. write to me for more information ;) ..
Thomas Lindqvist,@thomaslindqvist,Å,Exploring the future of work - Agile Coach @ King
ulla sandbaek,@usandbaek,Å,2016-2019 MF for Alternativet valgt i Københavns Omegn. Fhv. Europaparlamentariker. Fredsarbejde i Mellemøsten. Pastor Emeritus.
Henrik Vendelbo Petersen,@usandbaek,UDEN,2016-2019 MF for Alternativet valgt i Københavns Omegn. Fhv. Europaparlamentariker. Fredsarbejde i Mellemøsten. Pastor Emeritus.
Jovan Tasevski,@jovan_tasevski,UDEN,
Halima El Abassi,@jovan_tasevski,A,
Yildiz Akdogan,@jovan_tasevski,A,
Ida Auken,@jovan_tasevski,A,
Jarl Feyling,@JarlFeyling,A,Student hos Socialdemokraterne og entourage for @SrenJakobsen2
Peter Hummelgaard,@PHummelgaard,A,Beskæftigelsesminister. MF for Socialdemokratiet. Forfatter til debatbogen “Den Syge Kapitalisme”. Stolt søn af Amager.
Lone Leth Larsen,@LethLone,A,"Culture is my life, culture is the glue that binds us together."
jørgen mørup pedersen,@rgen_rup,A,
Nikoline Prehn,@rgen_rup,A,
Lars Aslan,@lars_aslan,A,Medlem af folketinget for Socialdemokraterne            mobil: 61624830
Mette Reissmann,@mettereissmann,A,"Medl af Borgerrepræsentationen i KBH. Folketingskandidat (S). formand i Dansk Aktionærforening, ARC, medl i bestyr i Kvindeøkonomien, ekspert i “Luksusfælden”"
Rosenkrantz-Theil,@RosenkrantzT,A,Pernille Rosenkrantz-Theil er Medlem af Folketinget for Socialdemokratiet.
Lars Werge,@RosenkrantzT,A,Pernille Rosenkrantz-Theil er Medlem af Folketinget for Socialdemokratiet.
Klaus Bondam,@KlausBondam,B,ÅBEN FOR NYE MULIGHEDER. Send en mail på klaus@bondam.dk hvis du har en idé til mig - og vil drikke en kop kaffe.
Clara Halvorsen,@ClHalv,B,Folketingskandidat for @radikale i København og medlem af Forretningsudvalget. +4528494672
Anders Højsted,@AndersHojsted,B,Forsker. Rollespiller. Forfatter. Spildesigner. Filosof.  Europæer. Cis. He/Him.
Marie Kampmann,@mariekampmann1,B,"Folketingskandidat for Radikale fra KBHs storkreds. Socialliberal, lesbisk og gift feminist. Tidligere ufrivillig barnløs. CBS-uddannet & FinTech ekspert."
Ruben Kidde,@rubenkidde,B,Fhv. klimaordfører for @radikale på Borgen. Folketingskandidat KBH. Formand for undervisning og politisk ordfører på FRB Rådhus 53862808/ruki01@frederiksberg.dk
Carolina Magdalene Maier,@carolinamaier,B,"Sekretariatschef, DFS. Tweeter for egen regning. Måske skarp i svinget men altid blid på den lange bane. carolinamaier@gmail.com"
Samira Nawa,@SamiraNawa,B,"Medl af Folketinget, @radikale. Beskæftigelsesordfører. Retsordfører. Ligestillingsordfører. Podcast: “En Radikal Fortælling” Cand.polit. Tlf:61624111"
Emilie Normann,@emilienormann1,B,"Innovation Attaché & Vice consul, EU H2020 Advisory Expert, tweets about research, policy, innovation, internationalisation, DK-German collaboration, H2020"
Michael Rachlin,@emilienormann1,B,"Innovation Attaché & Vice consul, EU H2020 Advisory Expert, tweets about research, policy, innovation, internationalisation, DK-German collaboration, H2020"
Thomas Rohden,@ThomasRohden,B,Folketingskandidat i København og regionsrådsmedlem i Hovedstaden for Radikale. Formand for Dansk Kina-Kritisk Selskab. thomas_rohden@hotmail.com eller 71903043
Jes Vissing Tiedemann (han/ham),@jestiede,B,Projektleder i FH Hovedstaden og folketingskandidat for Radikale Venstre. Væsentlig mere interesseret i at hjælpe folk ind på end ud af arbejdsmarkedet!
Peter Zinckernagel,@PZinckernagel,B,O
KatarinaAmmitzboell,@Ammitzboell_K,C,"Fhv. MF/MP, Konservative Folkeparti, Frederiksberg, Københavns Storkreds. Grøn omstilling, demokrati & rettigheder, og internationalt udsyn."
Allan Bilgaard Beier,@AllanBeier,C,
Helle Bonnesen (C),@Helle_Bonnesen,C,Folketingskandidat. Gruppeformand for Konservative i København. Medlem af Borgerrepræsentationen og Regionsrådet. Vinylpladepresser. Mobil 20406865
Nikolaj Bøgh,@nikolajbogh,C,Konservativ folketingskandidat i Københavns Storkreds og rådmand på Frederiksberg. Tlf. 24 26 09 25. nibo04@frederiksberg.dk
Rico Djernis,@ricodjernis,C,"Jeg arbejder for at styrke erhvervslivet, fra den enkelte iværksætter til den mellemstore virksomhed."
Helle Jønch,@Hellejonch,C,
Anders Havelund Krøyer,@Hellejonch,C,
Nicola Emily Larsen,@NicolaELarsen,C,"Folketingskandidat i København (C) og kommunalbestyrelsesmedlem i Rudersdal. Stud.scient.pol, KU. Tlf. 24981133"
Laura Lindahl,@NicolaELarsen,C,"Folketingskandidat i København (C) og kommunalbestyrelsesmedlem i Rudersdal. Stud.scient.pol, KU. Tlf. 24981133"
Martin Wood Pedersen,@NicolaELarsen,C,"Folketingskandidat i København (C) og kommunalbestyrelsesmedlem i Rudersdal. Stud.scient.pol, KU. Tlf. 24981133"
